identifier,distributionDate,lastUpdateTime,releaseTime,createTime,geoKeywords,keywords,title,authorName,authorAffiliation,description
ICPSR00011.v1,1984-06-20,2015-04-09T03:56:34Z,2015-04-09T03:56:34Z,2015-04-09T03:56:34Z,"United States, ","candidates, congressional districts, congressional elections, Democratic Party (USA), election returns, ethnicity, housing, income, national elections, presidential elections, Republican Party (USA), United States Congress, United States House of Representatives, vote count, voters, ","United States Congressional District Data Book for the Ninety-Third Congress, 1973",United States Department of Commerce. Bureau of the Census,United States Department of Commerce. Bureau of the Census,"This study contains aggregate socioeconomic and   demographic data as well as electoral returns for the offices   of the United States President and United States Representatives   for the elections of 1966-1970 for the congressional districts   of the 93rd Congress. Data are provided for the number   of votes cast for the Democratic candidates and the Republican   candidates, the percentage of votes received by the winning party,   and the total number of votes cast in the 1966, 1968, and 1970   elections for United States Representatives, as well as the total   votes cast for the office of president, and the number of votes   cast for each party's presidential candidate in the 1968 election.   Information is also provided on housing characteristics, employment,   income, poverty level, and military enrollment for the 93rd   congressional districts. Demographic variables provide information   on age, race, sex, marital status, education, and place of birth   for the population of these congressional districts. In addition   to the congressional district level, data aggregated to the state  level are also available."
ICPSR00012.v1,1984-06-20,2015-04-09T03:22:51Z,2015-04-09T03:22:51Z,2015-04-09T03:22:51Z,"United States, ","census data, cities, counties, demographic characteristics, economic conditions, employment, government expenditures, government revenues, household composition, human services, industrial production, labor force, municipal services, population characteristics, states (USA), voting behavior, ","County and City Data Books:  1952, 1956, 1962, 1967",United States Department of Commerce. Bureau of the Census,United States Department of Commerce. Bureau of the Census,"Several datasets containing economic, demographic, and   electoral data have been prepared from the County and City Databooks of   1952, 1956, 1962, and 1967 for this file. These data were obtained in   machine-readable form from the Bureau of the Census. The 1952   information is presented only for counties, states, and cities while   for the other three years data are available for counties, states,  cities, SMSAs, and urbanized areas."
ICPSR00013.v2,1984-06-19,2015-04-09T04:12:55Z,2015-04-09T04:12:55Z,2015-04-09T04:12:55Z,"United States, ","congressional elections, election returns, elections, gubernatorial elections, historical data, political attitudes, political behavior, political parties, presidential elections, voting behavior, ","General Election Data for the United States, 1950-1990",Inter-university Consortium for Political and Social Research,Inter-university Consortium for Political and Social Research,"This data collection consists of national files containing county-level returns for elections to the offices of president, United States senator and representative, and governor. Also included are returns for one additional statewide office (usually attorney general or secretary of state) for those states that elected state offices in 1970 through 1990."
ICPSR00014.v1,1984-03-18,2015-04-09T03:54:13Z,2015-04-09T03:54:13Z,2015-04-09T03:54:13Z,"United States, ","church membership, counties, religion, religious congregations, religious denominations, religious organizations, ","Survey of Churches and Church Membership by County, 1952",National Council of Churches of Christ in the U.S.A.,National Council of Churches of Christ in the U.S.A.,"This data collection contains information about church   and religious organization membership by county in the United   States for the year 1952. Information is provided on the number   and percentage of members in churches such as the Congregational   Christian, Methodist, Protestant Episcopalian, Roman Catholic, and   Jewish congregations, as well as the percentage of the total   population who are church members and those belonging to other   faiths. Demographic variables provide information on median age,  income, and education."
ICPSR00015.v1,1984-05-03,2015-04-09T03:54:01Z,2015-04-09T03:54:01Z,2015-04-09T03:54:01Z,"United States, ","economic behavior, education, expenditures, government expenditures, public policy, voting behavior, ","Socio-Economic, Public Policy, and Political Data for the United States, 1890-1960","Hofferbert, Richard I.",Unknown,"This study contains data for 48 states at decennial points from 1890 to 1960, including electoral, demographic, economic, public expenditure, and educational information. The majority of the variables in the dataset are derived measures such as percentages, ratios, indi
ces, and ranks of the states along various dimensions presented. The data were collected and prepared by the staff of the Comparative Political Behavior Project of the Cornell University Center for International Studies."
ICPSR00016.v1,1984-05-03,2015-04-09T03:40:33Z,2015-04-09T03:40:33Z,2015-04-09T03:40:33Z,"United States, ","governors, legislative bodies, legislators, nineteenth century, political parties, political partisanship, state government, state legislatures, states (USA), twentieth century, ","Partisan Division of American State Governments, 1834-1985","Burnham, W. Dean",Unkown,"This data collection provides information on the number   of seats held by the major and minor parties in both houses of the   state legislatures, as well as the party identification of the state's   governor during the term of each legislature in the United States in   the period 1834-1985. Data are presented annually and biennially for   every legislature. The data from 1834 to 1868 for both datasets were   collected by W. Dean Burnham, Massachusetts Institute of Technology.  Data for subseque
nt years were added by the ICPSR staff."
ICPSR00017.v1,1984-05-03,2015-04-09T03:48:02Z,2015-04-09T03:48:02Z,2015-04-09T03:48:02Z,"United States, ","census data, counties, debt, economic conditions, employee benefits, employment, government employees, government expenditures, government revenues, local government, municipal services, municipalities, school districts, state government, townships, ","Census of Governments, 1962 and 1967",United States Department of Commerce. Bureau of the Census,United States Department of Commerce. Bureau of the Census,"This study contains economic and employment data at the   county level for states and local governments in the United States   in 1962 and 1967. Data are provided on total population, land area,   general revenues, number of municipalities and local governments of   all types, number of public school districts, and number of employees   of local governments. Information is also provided on educational   payrolls of local governments, average earnings of full-time teachers,   water supply revenues and expenditures of local governments, local   government general expenditures on public welfare, highways, health   and hospitals, police and fire protection, natural resources, and   urban renewal, long-term general debt outstanding of local schools   and local governments, and per capita intergovernmental revenues and expenditures."
ICPSR00018.v1,1984-06-28,2015-04-09T03:58:23Z,2015-04-09T03:58:23Z,2015-04-09T03:58:23Z,"Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York (state), North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Puerto Rico, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, United States, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming, ","census data, citizenship, demographic characteristics, education, employment, ethnicity, families, household composition, housing, housing conditions, housing units, income, occupational status, occupations, population, population characteristics, states (USA), ","Census of Population and Housing, 1970 [United States]: Public Use Samples",United States Department of Commerce. Bureau of the Census,United States Department of Commerce. Bureau of the Census,"This data collection contains 132 Public Use Microdata Samples (PUMS) files from the 1970 Census of Population and Housing. Information is provided in these files on the housing unit, such as occupancy and vacancy status of house, tenure, value of property, commercial use, year structure was built, number of rooms, availability of plumbing facilities, sewage disposal, bathtub or shower, complete kitchen facilities, flush toilet, water, telephone, and air conditioning. Data are also provided on household characteristics such as the number of persons aged 18 years and younger in the household, the presence of roomers, boarders, or lodgers, the presence of other nonrelative and of relative other than wife or child of head of household, the number of persons per room, the rent paid for unit, and the number of persons with Spanish surnames. Other demographic variables provide information on age, race, marital status, place of birth, state of birth, Puerto Rican heritage, citizenship, education, occupation, employment status, size of family, farm earnings, and family income. This hierarchical data collection contains approximately 214 variables for the 15-percent sample, 227 variables for the 5-percent sample, and 117 variables for the neighborhood characteristics sample."
ICPSR00019.v1,1984-06-19,2015-04-09T03:27:27Z,2015-04-09T03:27:27Z,2015-04-09T03:27:27Z,"United States, ","candidates, election returns, elections, political attitudes and behavior, political parties, presidential elections, states, ","State-Level Presidential Election Data for the United States, 1824-1972","Burnham, W. Dean",Unknown,"Raw and percentagized returns for all presidential elections   from 1824 to 1972 are included in this state-level data set. Data are   presented for major candidates as well as the most significant minor   party candidates in each election. The data were matched-merged and the   parties fixed-formatted for all states in the file. There are  approximately 3,400 card-i
mage equivalents."
ICPSR00020.v1,1984-06-28,2015-04-09T04:23:54Z,2015-04-09T04:23:54Z,2015-04-09T04:23:54Z,"United States, ","African Americans, birth rates, counties, demographic characteristics, ethnic groups, internal migration, mortality rates, population dynamics, population migration, ","Demographic Characteristics of the Population of the United States, 1930-1950: County-Level","Gardner, John",University of Chicago. Center for Urban Studies,"This data collection contains county-level information   on total number of population and internal migration in the United States   from 1930 to 1950.  Demographic information is provided on race, age,   and sex for the counties. There are variables that provide information   by age group on the number of native-born white males and females,  foreign-born white males and females, Black males and females, and males  and females of other nationalities such as Indians, Japanese, and Chinese.   For 1930 and 1940, the population is tabulated in five-year intervals   until age 34 and in ten-year intervals thereafter. For 1950, the numbers  of whites and non-whites are given by sex and age in five-year intervals.    Additional variables provide information by age group on net migration of   white males and females, and on Black males and females. Other variables  give information on births and deaths."
ICPSR00021.v1,1984-03-18,2015-04-09T04:12:59Z,2015-04-09T04:12:59Z,2015-04-09T04:12:59Z,"Michigan, United States, ","church attendance, church buildings, church membership, counties, religion, religious denominations, ","Michigan Religious Data, 1950 and 1960",United Presbyterian Church in the United States. Synod of Michigan,United Presbyterian Church in the United States. Synod of Michigan,"This data collection contains county-level information on  churches and church membership by denomination in Michigan for 1950 and  1960.  Information is given on the names of the county, presbytery, and   church.  Other variables provide information on the number of churches and   church members for each denomination.  Additional variables give the number   and percentage of the state population who were 14 years and older in each   county in 1950 and in 1960, the percentage of this age group who attended   churches in 1950 and in 1960, and the percentage
of the change in membership  in each denomination between 1950 and 1960."
ICPSR00022.v1,1984-05-03,2015-04-09T03:15:48Z,2015-04-09T03:15:48Z,2015-04-09T03:15:48Z,"United States, ","economic development, economic indicators, political indicators, public policy-making, social attitudes and behavior, state policies, states, ","Economic Development and State Policy Data for the United States, 1950-1964","Dye, Thomas R.",Unknown,"Economic, political, and social indicatorss for fifty states   during the 1950s and 1960s from Thomas R. Dye, Florida State   University, is collected in this study. The dataset contains variables   that include data on population characteristics and levels of   governmental expenditures and services, as well as various political  indices and scales."
ICPSR00024.v1,1984-05-03,2015-04-09T04:03:56Z,2015-04-09T04:03:56Z,2015-04-09T04:03:56Z,"United States, ","crime rates, crime statistics, demographic characteristics, earned degrees, education, enrollments, government expenditures, government services, higher education, income, infant mortality, natural resources, population dynamics, public assistance programs, state government, states (USA), ","American State Data, 1956-1965","Sharkansky, Ira",Unknown,"This data collection provides selected economic, social,   demographic, and political information for 48 states of the United States  during the 1950s and 1960s. Variables describe population characteristics,  such as the number of adults aged 65 and over, the number of dentists and   physicians, the number of patients in mental hospitals, the death rates of   white and non-white infants under one year of age per 1,000 live births,   respectively, the number of recipients of public assistance such as Aid to   Families with Dependent Children (AFDC), elementary and secondary school  enrollment, enrollment in vocational programs, the total number of students   in higher education, the number of those conferred with M.A. and Ph.D.   degrees, and the number of workers in research experiment stations. Other   variables provide economic information, such as personal income per capita,   average monthly payment per recipient of some public assistance programs,   average salary per month for full-time state and local employees, state and   local government revenues and expenditures, and various intergovernmental   revenues from the federal government for certain services.  Additional   variables record crime statistics, such as the number of robbery, burglary,   larceny, auto theft, assault, rape, and murder offenses per 100,000 of the   population.  There are also variables that give information on each state's   topography, such as the acreage of state parks, total farm acreage, municipal  road mileage, and total unsurfaced road mileage."
ICPSR00025.v1,1984-03-18,2015-04-09T04:29:46Z,2015-04-09T04:29:46Z,2015-04-09T04:29:46Z,"Akron, Alabama, Albany (New York), Amarillo, Arizona, Atlanta, Berkeley, Birmingham, Bloomington, Boston, Buffalo, California, Cambridge, Charlotte, Clifton, Connecticut, Duluth, Euclid, Florida, Fort Worth, Fullerton, Gary, Georgia, Hamilton, Hammond, Indiana, Indianapolis, Irvington, Jacksonville, Long Beach, Malden, Manchester, Massachusetts, Memphis, Michigan, Milwaukee, Minneapolis, Minnesota, Missouri, New Hampshire, New Jersey, New York (state), Newark, North Carolina, Ohio, Palo Alto, Pasadena, Pennsylvania, Phoenix, Pittsburgh, Salt Lake City, San Francisco, San Jose, Santa Ana, Santa Monica, Schenectady, Seattle, South Bend, St. Louis, St. Paul, St. Petersburg, Tampa, Tennessee, Texas, Tyler, United States, Utah, Utica, Waco, Warren, Washington (state), Waterbury, Waukegan, Wisconsin, ","cities, communities, community decision making, community elites, community leaders, community participation, leadership, local politics, municipalities, political influence, public policy, ",Comparative Study of Community Decision-Making,"Clark, Terry N.",Unknown,"This study contains data for 51 communities with populations of 50,000-750,000 in 22 states of the United States on the characteristics of community leadership, decision-making, and patterns of influence, as well as political, economic, and demographic composition of the communities and per capita expenditures for various common community functions. Information regarding general political and public policy issues, specific municipal problems, and their solutions was obtained from interviews with eight prominent individuals in each city, such as the Chamber of Commerce president, a labor leader, a leading newspaper editor or publisher, the chairmen of the Democratic and Republican parties, the president of the largest bank, and the mayor. Data are also provided on the characteristics of the cities, including composite indexes created from the interview data as well as data from other sources. The study is composed of three files: a Merged Aggregate and Individual file (Part 1), an Aggregate file (Part 2), and an Individual file (Part 3). The Merged Aggregate and Individual file (Part 1) contains the responses of the individuals interviewed and information on the characteristics of each respondent's city from other sources. Items include education, health, culture, welfare, and total expenditures of the city. The Aggregate file (Part 2) contains information on the population characteristics of each city, as well as information on the structure, income, and expenditures of the city government. Demographic indices describe age and income distribution of the population, racial composition, level of educational attainment, and the size, income and occupational distribution of the labor force. The Individual file (Part 3) provides information received from respondents on decision-making pertaining to issues of urban renewal, mayoral elections, air pollution control, race relations, health, education, industrial and economic development, and anti-poverty programs."
ICPSR00026.v1,1984-03-18,2015-04-09T03:48:29Z,2015-04-09T03:48:29Z,2015-04-09T03:48:29Z,"United States, ","cities, communities, community decision making, community elites, community participation, community power, electoral systems, income, industrial growth, local government, local politics, minorities, political parties, population growth rate, population size, urban areas, ","Comparative Study of Community Power Research, 1920-1964","Gilbert, Claire W.",Hunter College,"This study contains data relevant to 166 community power studies conducted from 1920 to 1964.  The goal of the data collection was to afford comparative analyses of these selected communities by any interested future researchers.  Information is provided on the theoretical and methodological apparatus of the research, such as the major data collection techniques and the model of power utilized in the investigation.  Additional information is given for the primary purpose of the research, the number of communities and the mode of entry into the communities studied, the number and scope of issues studied, the level of theoretical rigor, and the replicability of the study. Other variables provide information on the community power structure, formal structure, and characteristics of politics in the communities, such as the type of local government, electoral systems established, forms of formal and informal structures of power, political party dominating local politics, community conflict resolution, sources of innovation, and the place of experts, elite groups, masses, voters, and minorities in the community.  There are also variables that provide information on the type of community and city, city rating, growth of the city, type of relationship between population growth and industrial growth, and population growth rate and population size of the city per square mile. Variables on the economic base of the community include the median income for the city in 1950 and in 1960, and the proportion of the population earning under $2,000 and under $3,000 in 1950, and over $10,000 in 1960.  Demographic variables on the city's residents cover the education of the population in relation to the United States median, the median age from 1950 to 1960, the proportion of the population under 5 years, over 21 years, and under 65 years of age, and the proportion of the population that was non-white in any census year, of mixed parentage in 1960 in (where one parent was of foreign birth), and foreign-born between 1910 and 1960.  Data are also provided on the researchers' sex, educational institutions attended, motivation for the research, and their publications based on the research findings."
ICPSR00027.v1,1984-05-03,2015-04-09T03:05:33Z,2015-04-09T03:05:33Z,2015-04-09T03:05:33Z,"United States, ","church membership, congressional elections, congressional voting, consumer expenditures, economic indicators, demographic statistics, federal budget, federal elections, federal spending, government agencies, government employees, government expenditures, government revenues, income distribution, labor force, local government, party membership, political affiliation, political behavior, political parties, population characteristics, presidential elections, social history, social welfare, state government, twentieth century, unemployment, union membership, voting behavior, United States Congress, ","Annual Time Series Statistics for the United States, 1929-1968","Norwood, Douglas A.",Unknown,"This study is a 40-year time series of social, economic,  and political indicators at the national level for the United States  in the period 1929-1968. The variables include data on expenditures  from the federal budget by various departments, agencies, and  commissions, the number of employees in the various United States  departments, measures of the political characteristics of the United  States Congress, such as the number of Repuplicans, Democrats, and  ""other"" party members in the United States Senate and in the House of  Representatives, business and consumer expenditures, and attributes of  the population. Data are also provided on the number per 1,000 of  immigrants to the United States, membership of all the religious  bodies in the United States, labor union membership, total households  in the United States, total civilian labor force, and the number of  the unemployed. Demographic variables provide information on  education, births, and death rates.  The unit of analysis is the  year. Variables 2-281 cover the period from 1929-1968 and Variables 282-408 cover only the period from 1947-1968."
ICPSR00028.v1,1984-05-03,2015-04-09T04:18:59Z,2015-04-09T04:18:59Z,2015-04-09T04:18:59Z,"Florida, Idaho, Louisiana, Maryland, Mississippi, Montana, New Mexico, Oklahoma, South Carolina, United States, Wyoming, ","cities, demographic characteristics, education, elementary school children, government expenditures, government programs, housing, housing needs, housing programs, income, labor force, local elections, local government, manufacturing industry, migrants, Model Cities Programs, occupations, population characteristics, population density, poverty, public housing, slums, suburbs, unemployment, urban areas, urban renewal, white collar workers, ",Governmental Units Analysis Data,"Aiken, Michael",Unknown,"This data collection provides information on the demographic,  social, economic, political, and civil characteristics of selected   municipalities with populations of 25,000 or more in the United States   during the 1960s.  Information is provided on population characteristics,   such as the number of native-born persons residing in the state of birth,   percentage of persons aged 5 years and older who were migrants, percentages    in 1962 of non-white, foreign-born, and native-born populations of foreign    or racially mixed parentage, median school years completed by those aged 25   years and older, percentage of elementary school children in private school,   median income of families, number of full-time city employees per 1,000   population, percentage of civilian labor force that was unemployed in 1960,   percentage of employed persons in white-collar occupations and in   manufacturing industries, and percentage of the employed civilian labor force   that was professional and that were managers, officials, and proprietors.    Other variables provide information on city characteristics, such as the   age of the city, the presence of dormitory city, balanced city, central city,   independent city, and the suburbs, the density of population per square mile,   the employment-residence ratio, the presence or absence of application for   the Model Cities Program, and the number of applications for, and whether   the city was a winner of, the All-American City award between 1952  and 1967.  Further variables detail information on the city housing   situation, such as the number of dwelling units built in 1929 or earlier,  the number of dilapidated dwellings, the presence or absence of a local housing   authority and jurisdiction of local housing authority, participation in   programs of the United States Housing Act of 1937 (Public Law 412), the   presence or absence of a low-rent housing program and of slum clearance, and   the number of low-rent housing units per 100,000 population.  Additional   variables give information on city politics, including the presence of   mayor-council government, city-manager government, and nonpartisan elections,   the number of city councilmen, the percentage of city council elected at   large, the percentage of the county presidential vote for the Democratic   party and for the Republican party in 1960, and the numbers of registered   voters. Other items cover city services and programs, such as the presence or   absence of poverty programs, the number of dollars per capita for poverty   programs as of June 30, 1966, the presence or absence of urban renewal   programs and their execution or completion as of June 30, 1966, the   current per capita amount raised for Community Chest, and the presence or   absence of action on fluoridation of city water.  There are also variables   that identify a subset of cities for urban renewal analysis, Community Chest   analysis, analysis of fluori
dation decisions, and analysis of decisions  about public housing."
ICPSR00029.v1,1984-05-03,2015-04-09T04:20:56Z,2015-04-09T04:20:56Z,2015-04-09T04:20:56Z,"Canada, Global, United States, ","industry, Knights of Labor, labor (work), labor history, labor organizers, labor strikes, labor unions, nineteenth century, occupations, Powderly, Terence V., Stephens, Uriah S., union membership, work environment, workers, ","Knights of Labor Assemblies, 1879-1889","Garlock, Jonathan",University of Rochester,"This data collection provides information on the characteristics of almost 12,000 Knights of Labor Assemblies in the United States, Canada, and other nations for the period 1879 to 1889. Information is provided on the location of each assembly in the United States and Canada, their dates of origin, occupational categories and status, annual membership, the racial, sex, and ethnic composition of local assembly members, the population in 1880 and 1890 of the geographic location of local assemblies, and the last date in existence of local assemblies."
ICPSR00030.v1,1984-06-20,2015-04-09T04:00:18Z,2015-04-09T04:00:18Z,2015-04-09T04:00:18Z,"Indiana, United States, ","census data, counties, demographic characteristics, foreign born, males, nineteenth century, occupations, personal wealth, place of birth, place of residence, political affiliation, political parties, political partisanship, religious affiliation, rural areas, voters, ","Indiana Voter: Nineteenth Century Rural Bases of Partisanship, 1870","Hammarberg, Melvyn A.",Unknown,"This data collection contains information on adult males living  in nine counties of Indiana in 1870.  The variables provide individual-level   demographic information, such as county and township of residence, age, race,   place of birth, parents' place of birth, status within the family, occupation,   religious affiliation, and literacy level.  Other variables provide information  on the individual's and the family's real and total wealth, respectively,   political party affiliation of the individual, disability condition, number of   years the individual lived in Indiana, and percentage of life spent in  Indiana."
